pin,slack
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[12],47462
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[13],47457
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[1],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[2],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[3],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[4],47152
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[5],47274
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[6],47249
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[7],47488
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[8],47519
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[9],47499
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ARST_N,
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_BLK[0],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_BLK[1],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_BLK[2],41828
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_CLK,37960
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[0],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[10],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_DIN[11],
